#{"t_start": 1638379752.447189, "env_id": null}
r,l,t
59384.427724,330,822.588312
59386.004896,330,823.295871
59433.39828,333,823.977532
60050.023686,330,824.660462
63025.060977,330,826.50722
59462.739431,330,827.050512
59382.320578,331,827.605623
59875.420601,332,828.442972
58960.344213,331,829.096318
59052.787745,335,829.652609
58349.266363,328,831.596655
59579.098959,331,832.120236
61951.24116,334,832.688541
59261.342108,330,833.224435
62334.307866,329,833.766355
62456.768121,331,834.30746
62662.849023,332,836.061359
58816.213166,329,836.597906
58766.961144,330,837.123758
63090.35742,331,837.673455
59211.526529,330,838.218614
62829.704221,329,838.925116
59216.07304,330,840.663701
62444.183875,330,841.382142
61899.119803,330,841.916468
59324.693303,330,842.47262
59682.555235,332,843.006791
59448.36899,333,843.541055
59491.378728,331,844.098706
59447.955332,330,845.728779
62751.176387,333,846.269778
59759.951722,333,846.789079
59312.504542,329,847.307044
62628.074351,329,847.822561
59453.370403,329,848.373864
62317.15641,333,850.168133
62529.320266,329,850.686133
59499.182061,330,851.222632
62910.840033,330,851.731552
59566.444116,332,852.253632
59401.699516,331,852.798317
59371.140134,329,854.534107
59500.575219,330,855.188725
59506.034686,325,855.882842
59341.322299,329,856.532262
59282.618366,327,857.197388
62502.796224,330,857.958628
62517.499521,332,860.889485
60050.471392,330,861.434702
59330.995214,329,861.971899
59710.595666,329,862.490391
59468.270218,331,863.057107
61421.684701,330,863.616646
59208.494911,333,865.6888
62434.491649,330,866.304314
59435.006954,329,866.98036
62503.618669,329,867.594664
59333.288956,331,868.20631
62622.378468,330,868.811209
59745.794351,329,869.416849
62956.398714,333,871.541032
59756.616219,333,872.111255
62684.630549,329,872.696115
62890.830644,330,873.298214
62860.977453,333,873.853047
59483.786136,332,874.404353
62393.493897,330,876.333769
62330.3949,336,876.899097
59685.873071,329,877.431128
59505.499814,332,877.994752
62403.803391,332,878.626566
59554.742215,333,879.267352
62319.826511,331,881.362102
59418.361084,329,881.944132
57746.104162,327,882.526345
62807.172565,333,883.113487
62596.259844,331,883.867471
59709.912328,329,884.641563
59629.046628,329,888.911213
59272.851229,330,889.54538
59181.181449,330,890.227789
59768.705742,330,890.793229
59616.294558,330,891.356467
59459.76851,329,892.00294
59478.418679,330,895.501274
59313.487317,330,896.065551
59166.197854,329,896.6135
59215.579005,333,897.152206
59870.758748,330,897.680759
62706.804208,329,898.22267
59384.452141,329,898.757751
59677.964322,329,900.447585
62538.606225,331,900.993711
59433.7212,329,901.732004
59717.222376,330,902.551326
62866.098294,332,903.319667
59467.69398,328,903.865008
59400.185759,330,905.985833
62686.507664,332,906.65522
62757.29245,331,907.377744
60672.241946,329,908.087483
59788.869729,329,908.719017
59496.172878,330,909.361861
59734.923484,330,911.261419
62664.754268,333,911.787755
59767.116563,332,912.305179
59053.105485,330,912.812379
62029.689995,329,913.453279
59746.136154,327,914.114186
59871.319407,332,916.548986
59830.666982,330,917.187469
59722.781916,329,918.047224
59926.016176,330,918.859841
59253.283677,330,919.487242
61386.093872,332,920.03207
62585.474384,330,921.648483
62907.760609,329,922.173809
58600.445341,332,922.697344
59418.929877,327,923.221834
59602.070488,329,923.737129
62451.854682,330,924.334588
62783.134332,331,924.980115
59375.77779,329,926.861075
59314.853304,328,927.531991
59209.600886,333,928.265565
58465.467769,328,929.201112
57863.417781,335,929.909067
62931.082775,332,930.600463
63066.823043,330,932.645677
62797.29177,329,933.148633
59667.258497,330,933.666499
59613.43006,329,934.271451
59579.955895,329,935.005572
59659.978838,325,935.729491
59590.76464,329,937.90666
62256.446037,330,938.572365
59978.640258,331,939.128343
59500.473692,329,939.767296
59674.722203,327,940.323798
59358.78231,330,940.969256
59483.547561,330,942.853507
61103.217897,326,943.367233
59713.071832,329,943.865228
58925.548552,331,944.373361
59811.905105,329,944.885361
57962.742229,323,945.392924
59531.136699,330,946.953014
59121.455393,330,947.488731
59559.668801,330,948.136324
59795.286969,329,948.793526
59860.010719,331,949.450555
59701.35984,329,950.122801
59607.380044,330,950.733863
62896.276972,327,952.445168
59695.532643,332,952.983238
59317.536971,331,953.52517
59182.847871,330,954.062586
59704.630966,329,954.587722
58912.516029,332,955.11119
59915.065359,330,956.709191
59585.440911,329,957.211367
59621.518087,330,957.896632
59747.725707,331,959.102123
59764.047479,330,959.7513
59836.677806,332,960.394299
59849.562599,331,962.506154
59918.51211,333,963.259425
59730.012189,330,963.941841
59269.701325,330,964.544654
59668.535815,330,965.173256
60001.32864,330,965.790606
59355.769022,330,967.88462
59569.134241,329,968.492008
59745.985469,331,969.232485
59823.633873,330,969.847387
59588.110612,329,970.39772
59448.886538,330,970.969535
59639.215629,329,971.668335
59873.291144,330,973.657667
59698.967714,330,974.207407
59568.068332,329,974.911676
59864.369792,329,975.498082
59640.072949,331,976.302389
62726.016734,332,977.00752
59202.358981,330,978.731686
59015.14687,330,979.29334
58770.458877,329,979.877654
59186.603886,329,980.45678
59748.455486,329,981.039054
59758.806503,331,981.581784
59596.914949,329,983.499428
59918.403314,330,984.014742
59824.406234,331,984.612066
59767.373579,329,985.266641
62277.883082,333,985.857582
59298.533434,329,986.374374
62863.440325,331,988.044638
62771.402902,329,988.573249
62848.155829,329,989.095894
59247.264299,330,989.623007
62475.60477,331,990.133987
59310.20364,330,990.769149
59718.072079,329,992.562681
59605.61803,330,993.259818
59675.994221,329,993.830048
59750.348628,329,994.513787
59556.645445,330,995.242
59776.349924,331,996.079727
59819.575101,330,996.730257
62708.231547,330,998.496423
62858.165806,329,999.310228
